date,origin,dest,train,dep_time,dep_delay_min,arr_delay_min,arr_delay_sec,canceled
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1533,11:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2834,12:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3635,12:18,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 534,12:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1534,12:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2835,13:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3636,13:18,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 535,13:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1535,13:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2836,14:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3637,14:19,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 536,14:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1536,14:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2837,15:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3638,15:19,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 537,15:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1537,15:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2838,16:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3639,16:19,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 538,16:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1538,16:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2839,17:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3640,17:18,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,T 18023,17:25,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 539,17:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1539,17:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2840,18:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3641,18:18,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,T 18025,18:25,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 540,18:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1540,18:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2841,19:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3642,19:18,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,T 18027,19:25,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 541,19:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1541,19:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2842,20:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3643,20:18,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,T 18029,20:25,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 542,20:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1542,20:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2843,21:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3644,21:19,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 543,21:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1543,21:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2844,22:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 544,22:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1544,22:55,0,0,0,0
2026-08-16,Leuven,Halle,S2 3777,06:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3778,07:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3779,08:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3780,09:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3781,10:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3782,11:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3783,12:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3784,13:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3785,14:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3786,15:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3787,16:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3788,17:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3789,18:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3790,19:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3791,20:11,0,0,0,0
2026-08-16,Leuven,Halle,S2 3792,21:11,0,0,0,0
